teamName,season,sport,headCoach,stat,rank,value
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Save Pct,116,0.790
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Won-Lost-Tied Percentage,T-182,0.474
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Points Per Game,T-108,4.58
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Assists Per Game,T-89,1.42
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Saves Per Game,T-89,5.16
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Fouls Per Game,303,11.74
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Shots on Goal Per Game,180,5.63
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Total Points,T-107,87
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Shots Per Game,154,12.84
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Total Assists,T-93,27
South Dakota Coyotes,2019-20,Women's Soccer,Michael Thomas,Penalty Kicks,T-1,1.000
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Corner Kicks Per Game,79,5.32
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Scoring Offense,170,1.36
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Shot Accuracy,297,0.401
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Total Goals,T-111,30
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Goals-Against Average,4,0.401
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Shutout Percentage,5,0.682
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Save Pct,2,0.919
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Won-Lost-Tied Percentage,38,0.727
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Points Per Game,172,3.82
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Assists Per Game,172,1.09
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Saves Per Game,137,4.64
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Fouls Per Game,124,9.00
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Shots on Goal Per Game,168,5.73
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Total Points,T-121,84
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Shots Per Game,T-91,14.27
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Total Assists,T-125,24
South Dakota St. Jackrabbits,2019-20,Women's Soccer,Brock Thompson,Penalty Kicks,T-197,0.500
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Corner Kicks Per Game,24,6.38
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Scoring Offense,32,2.10
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Shot Accuracy,146,0.468
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Total Goals,T-36,44
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Goals-Against Average,68,0.942
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Shutout Percentage,T-144,0.333
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Save Pct,219,0.744
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Won-Lost-Tied Percentage,T-23,0.762
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Points Per Game,26,6.19
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Assists Per Game,T-23,2.00
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Saves Per Game,318,2.76
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Fouls Per Game,282,11.24
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Shots on Goal Per Game,19,8.14
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Total Points,29,130
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Shots Per Game,13,17.38
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Total Assists,26,42
South Fla. Bulls,2019-20,Women's Soccer,Denise Schilte-Brown,Penalty Kicks,T-148,0.750
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Corner Kicks Per Game,107,4.94
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Scoring Offense,100,1.65
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Shot Accuracy,39,0.518
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Total Goals,T-133,28
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Goals-Against Average,217,1.494
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Shutout Percentage,T-235,0.235
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Save Pct,132,0.783
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Won-Lost-Tied Percentage,66,0.676
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Points Per Game,143,4.06
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Assists Per Game,241,0.76
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Saves Per Game,63,5.53
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Fouls Per Game,130,9.12
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Shots on Goal Per Game,34,7.53
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Total Points,T-186,69
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Shots Per Game,80,14.53
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Total Assists,T-249,13
Southeast Mo. St. Redhawks,2019-20,Women's Soccer,Heather Nelson,Penalty Kicks,T-1,1.000
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Corner Kicks Per Game,263,3.44
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Scoring Offense,255,0.94
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Shot Accuracy,63,0.503
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Total Goals,T-253,17
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Goals-Against Average,262,1.756
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Shutout Percentage,239,0.222
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Save Pct,251,0.726
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Won-Lost-Tied Percentage,T-294,0.250
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Points Per Game,T-243,2.83
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Assists Per Game,T-202,0.94
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Saves Per Game,T-128,4.72
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Fouls Per Game,T-209,10.11
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Shots on Goal Per Game,255,4.72
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Total Points,T-242,51
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Shots Per Game,294,9.39
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Total Assists,T-206,17
Southeastern La. Lady Lions,2019-20,Women's Soccer,Chris McBride,Penalty Kicks,T-1,1.000
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Corner Kicks Per Game,42,5.83
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Scoring Offense,43,2.04
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Shot Accuracy,107,0.483
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Total Goals,T-18,47
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Goals-Against Average,124,1.151
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Shutout Percentage,99,0.391
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Save Pct,T-180,0.759
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Won-Lost-Tied Percentage,28,0.761
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Points Per Game,30,6.09
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Assists Per Game,23,2.00
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Saves Per Game,248,3.70
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Fouls Per Game,220,10.26
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Shots on Goal Per Game,37,7.48
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Total Points,16,140
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Shots Per Game,50,15.48
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Total Assists,T-16,46
Southern California Women of Troy,2019-20,Women's Soccer,Keidane McAlpine,Penalty Kicks,T-1,1.000
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Corner Kicks Per Game,222,3.88
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Scoring Offense,303,0.71
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Shot Accuracy,144,0.469
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Total Goals,305,12
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Goals-Against Average,308,2.233
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Shutout Percentage,235,0.235
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Save Pct,206,0.748
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Won-Lost-Tied Percentage,256,0.353
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Points Per Game,302,1.94
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Assists Per Game,T-291,0.53
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Saves Per Game,18,6.82
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Fouls Per Game,75,8.18
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Shots on Goal Per Game,283,4.41
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Total Points,307,33
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Shots Per Game,T-291,9.41
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Total Assists,290,9
Southern Ill. Salukis,2019-20,Women's Soccer,Grant Williams,Penalty Kicks,T-245,0.000
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Corner Kicks Per Game,T-265,3.39
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Scoring Offense,T-119,1.56
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Shot Accuracy,43,0.511
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Total Goals,T-133,28
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Goals-Against Average,184,1.362
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Shutout Percentage,T-144,0.333
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Save Pct,151,0.777
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Won-Lost-Tied Percentage,T-222,0.417
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Points Per Game,163,3.89
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Assists Per Game,234,0.78
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Saves Per Game,118,4.83
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Fouls Per Game,T-51,7.67
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Shots on Goal Per Game,T-99,6.50
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Total Points,T-177,70
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Shots Per Game,158,12.72
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Total Assists,T-234,14
Southern Miss. Golden Eagles,2019-20,Women's Soccer,Mohammed El-Zare,Penalty Kicks,T-1,1.000
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Corner Kicks Per Game,T-319,2.35
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Scoring Offense,T-234,1.06
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Shot Accuracy,299,0.400
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Total Goals,T-243,18
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Goals-Against Average,321,2.497
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Shutout Percentage,T-327,0.059
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Save Pct,293,0.693
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Won-Lost-Tied Percentage,289,0.265
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Points Per Game,256,2.65
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Assists Per Game,T-291,0.53
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Saves Per Game,48,5.71
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Fouls Per Game,81,8.29
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Shots on Goal Per Game,316,3.76
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Total Points,267,45
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Shots Per Game,T-291,9.41
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Total Assists,T-290,9
Southern U. Lady Jaguars,2019-20,Women's Soccer,Jeremy Fontenot,Penalty Kicks,T-245,0.000
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Corner Kicks Per Game,328,2.06
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Scoring Offense,327,0.50
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Shot Accuracy,220,0.441
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Total Goals,324,9
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Goals-Against Average,317,2.382
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Shutout Percentage,T-311,0.111
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Save Pct,171,0.765
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Won-Lost-Tied Percentage,327,0.111
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Points Per Game,326,1.33
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Assists Per Game,318,0.33
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Saves Per Game,7,7.61
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Fouls Per Game,102,8.61
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Shots on Goal Per Game,335,2.28
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Total Points,T-324,24
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Shots Per Game,333,5.17
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Total Assists,T-315,6
Southern Utah Thunderbirds,2019-20,Women's Soccer,Fred Thompson,Penalty Kicks,T-245,0.000
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Corner Kicks Per Game,T-234,3.72
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Scoring Offense,T-278,0.83
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Shot Accuracy,268,0.423
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Total Goals,T-276,15
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Goals-Against Average,139,1.207
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Shutout Percentage,T-193,0.278
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Save Pct,106,0.794
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Won-Lost-Tied Percentage,T-222,0.417
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Points Per Game,T-268,2.44
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Assists Per Game,T-234,0.78
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Saves Per Game,T-128,4.72
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Fouls Per Game,106,8.72
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Shots on Goal Per Game,324,3.33
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Total Points,270,44
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Shots Per Game,323,7.89
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Total Assists,T-234,14
St. Bonaventure Bonnies,2019-20,Women's Soccer,Steve Brdarski,Penalty Kicks,T-1,1.000
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Corner Kicks Per Game,330,2.00
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Scoring Offense,335,0.24
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Shot Accuracy,266,0.424
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Total Goals,335,4
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Goals-Against Average,312,2.283
St. Francis Brooklyn Terriers,2019-20,Women's Soccer,Justine Lombardi,Shutout Percentage,327,0.059
