year,team,coach,sport,Jersey,Player,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,Avg,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,G,DQ,Dbl Dbl,Tech Fouls,Trpl Dbl
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,1,"Wright, Giana",Jr,G,5-11,28,1,309:05,20,43,46.51,,3,0.00,20,29,68.97,60,1.61,20,25,45,11,19,6,,35,28,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,10,"Campbell, Hayle",Fr,G,5-8,28,,325:31,32,87,36.78,12,43,27.91,8,16,50.00,84,1.36,14,24,38,20,38,19,1,19,28,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,10,"Campbell, Hayle",Fr,G,5-8,28,,325:31,32,87,36.78,12,43,27.91,8,16,50.00,84,1.36,14,24,38,20,38,19,1,19,28,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,3,"Nesbitt, Torrionna",So,G,5-8,27,,245:53,11,39,28.21,1,4,25.00,8,23,34.78,31,0.52,2,12,14,19,41,11,1,19,27,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,3,"Nesbitt, Torrionna",So,G,5-8,27,,245:53,11,39,28.21,1,4,25.00,8,23,34.78,31,0.52,2,12,14,19,41,11,1,19,27,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,12,"Evans, Dae Dae",Sr,G,5-7,27,26,778:19,60,171,35.09,6,16,37.50,39,64,60.94,165,3.74,13,88,101,47,71,51,8,40,27,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,12,"Evans, Dae Dae",Sr,G,5-7,27,26,778:19,60,171,35.09,6,16,37.50,39,64,60.94,165,3.74,13,88,101,47,71,51,8,40,27,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,14,"Dowden, Olivia",Fr,G,5-10,19,,77:36,10,30,33.33,7,21,33.33,,,,27,0.42,,8,8,1,13,9,,6,19,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,14,"Dowden, Olivia",Fr,G,5-10,19,,77:36,10,30,33.33,7,21,33.33,,,,27,0.42,,8,8,1,13,9,,6,19,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,20,"Serrata, Makinna",So,G,6-0,17,4,216:05,23,53,43.40,1,5,20.00,13,20,65.00,60,2.71,16,30,46,9,21,12,3,23,17,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,20,"Serrata, Makinna",So,G,6-0,17,4,216:05,23,53,43.40,1,5,20.00,13,20,65.00,60,2.71,16,30,46,9,21,12,3,23,17,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,25,"Sims-Jackson, Arhianna",Sr,F,6-5,12,,44:20,1,5,20.00,,,,5,8,62.50,7,0.83,4,6,10,1,3,1,3,8,12,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,25,"Sims-Jackson, Arhianna",Sr,F,6-5,12,,44:20,1,5,20.00,,,,5,8,62.50,7,0.83,4,6,10,1,3,1,3,8,12,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,30,"Cottrell, Sydney-Anne",Sr,G,5-4,10,,24:51,2,2,100.00,2,2,100.00,1,2,50.00,7,0.30,,3,3,,2,,,2,10,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,30,"Cottrell, Sydney-Anne",Sr,G,5-4,10,,24:51,2,2,100.00,2,2,100.00,1,2,50.00,7,0.30,,3,3,,2,,,2,10,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,11,"Robinson, La'Janeira",Sr,G,5-7,7,5,189:18,18,62,29.03,11,33,33.33,6,7,85.71,53,2.43,1,16,17,11,16,12,,9,7,,0,,0
2019-20,A&M-Corpus Christi Islanders,Royce Chadwick,Women's Basketball,11,"Robinson, La'Janeira",Sr,G,5-7,7,5,189:18,18,62,29.03,11,33,33.33,6,7,85.71,53,2.43,1,16,17,11,16,12,,9,7,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,22,"Jackson, Ny'Dajah",Jr,G,5-5,30,14,765:45,88,226,38.94,13,57,22.81,33,47,70.21,222,2.67,13,67,80,62,68,30,2,53,30,1,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,22,"Jackson, Ny'Dajah",Jr,G,5-5,30,14,765:45,88,226,38.94,13,57,22.81,33,47,70.21,222,2.67,13,67,80,62,68,30,2,53,30,1,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,12,"Olson, Chelsea",Jr,G,5-10,30,30,984:30,122,307,39.74,45,136,33.09,75,88,85.23,364,7.23,27,190,217,87,61,35,25,58,30,2,6,,1
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,12,"Olson, Chelsea",Jr,G,5-10,30,30,984:30,122,307,39.74,45,136,33.09,75,88,85.23,364,7.23,27,190,217,87,61,35,25,58,30,2,6,,1
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,0,"Aulbach, Mady",Fr,G,5-5,30,1,460:21,23,77,29.87,22,55,40.00,14,18,77.78,82,1.03,3,28,31,20,22,18,2,39,30,1,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,0,"Aulbach, Mady",Fr,G,5-5,30,1,460:21,23,77,29.87,22,55,40.00,14,18,77.78,82,1.03,3,28,31,20,22,18,2,39,30,1,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,23,"Schires, Maddie",Fr,G,5-8,30,21,655:14,73,209,34.93,65,182,35.71,17,23,73.91,228,1.77,7,46,53,22,26,22,2,37,30,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,23,"Schires, Maddie",Fr,G,5-8,30,21,655:14,73,209,34.93,65,182,35.71,17,23,73.91,228,1.77,7,46,53,22,26,22,2,37,30,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,40,"Wendler, Je",Fr,F,6-2,29,25,568:06,59,156,37.82,1,9,11.11,63,81,77.78,182,4.00,47,69,116,11,43,11,12,79,29,1,0,1,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,40,"Wendler, Je",Fr,F,6-2,29,25,568:06,59,156,37.82,1,9,11.11,63,81,77.78,182,4.00,47,69,116,11,43,11,12,79,29,1,0,1,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,11,"Astrom, Klara",Fr,G,5-9,27,,317:13,25,79,31.65,17,50,34.00,9,13,69.23,76,1.26,7,27,34,16,16,16,,27,27,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,11,"Astrom, Klara",Fr,G,5-9,27,,317:13,25,79,31.65,17,50,34.00,9,13,69.23,76,1.26,7,27,34,16,16,16,,27,27,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,3,"Hatcher, Quinece",Fr,G,5-8,29,7,524:55,65,144,45.14,6,25,24.00,33,42,78.57,169,2.62,24,52,76,22,44,9,3,48,29,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,3,"Hatcher, Quinece",Fr,G,5-8,29,7,524:55,65,144,45.14,6,25,24.00,33,42,78.57,169,2.62,24,52,76,22,44,9,3,48,29,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,2,"Emsbo, Camilla",So,F,6-5,27,26,756:09,166,293,56.66,5,8,62.50,69,101,68.32,406,8.19,78,143,221,16,49,19,62,73,27,3,9,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,2,"Emsbo, Camilla",So,F,6-5,27,26,756:09,166,293,56.66,5,8,62.50,69,101,68.32,406,8.19,78,143,221,16,49,19,62,73,27,3,9,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,32,"Lupardus, Gabby",Fr,G,5-8,28,,354:48,34,84,40.48,5,21,23.81,22,26,84.62,95,1.46,9,32,41,26,27,9,1,30,28,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,32,"Lupardus, Gabby",Fr,G,5-8,28,,354:48,34,84,40.48,5,21,23.81,22,26,84.62,95,1.46,9,32,41,26,27,9,1,30,28,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,15,"Cade, Alex",Jr,F,6-1,27,,329:25,51,104,49.04,,,,39,54,72.22,141,2.48,30,37,67,7,21,7,5,43,27,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,15,"Cade, Alex",Jr,F,6-1,27,,329:25,51,104,49.04,,,,39,54,72.22,141,2.48,30,37,67,7,21,7,5,43,27,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,10,"Petit, Taylor",Fr,G,5-8,27,23,682:47,71,173,41.04,18,65,27.69,40,48,83.33,200,4.78,53,76,129,52,61,24,2,75,27,5,1,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,10,"Petit, Taylor",Fr,G,5-8,27,23,682:47,71,173,41.04,18,65,27.69,40,48,83.33,200,4.78,53,76,129,52,61,24,2,75,27,5,1,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,24,"Andrews, Ellen Margaret",Jr,F,5-10,27,27,861:21,124,283,43.82,35,88,39.77,48,69,69.57,331,4.22,32,82,114,51,44,49,11,44,27,1,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,24,"Andrews, Ellen Margaret",Jr,F,5-10,27,27,861:21,124,283,43.82,35,88,39.77,48,69,69.57,331,4.22,32,82,114,51,44,49,11,44,27,1,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,34,"Peters, McKenah",Jr,G,5-9,25,24,717:15,93,239,38.91,43,137,31.39,37,47,78.72,266,5.12,30,98,128,31,50,10,2,46,25,,1,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,34,"Peters, McKenah",Jr,G,5-9,25,24,717:15,93,239,38.91,43,137,31.39,37,47,78.72,266,5.12,30,98,128,31,50,10,2,46,25,,1,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,23,"Andrew, Tori",Jr,G,5-10,27,26,840:19,69,170,40.59,42,111,37.84,31,39,79.49,211,2.07,6,50,56,66,71,9,2,58,27,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,23,"Andrew, Tori",Jr,G,5-10,27,26,840:19,69,170,40.59,42,111,37.84,31,39,79.49,211,2.07,6,50,56,66,71,9,2,58,27,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,4,"Gibson, Deleah",So,G,5-6,25,,109:12,8,26,30.77,,7,0.00,4,6,66.67,20,0.68,8,9,17,7,5,5,1,9,25,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,4,"Gibson, Deleah",So,G,5-6,25,,109:12,8,26,30.77,,7,0.00,4,6,66.67,20,0.68,8,9,17,7,5,5,1,9,25,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,21,"Barahman, Roxy",Sr,G,5-8,27,27,854:00,168,420,40.00,35,116,30.17,92,142,64.79,463,5.07,15,122,137,95,78,68,9,60,27,1,1,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,21,"Barahman, Roxy",Sr,G,5-8,27,27,854:00,168,420,40.00,35,116,30.17,92,142,64.79,463,5.07,15,122,137,95,78,68,9,60,27,1,1,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,52,"VanZanten, Emma",Jr,F,6-4,10,1,134:33,19,38,50.00,,,,13,16,81.25,51,2.10,6,15,21,5,16,2,14,15,10,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,52,"VanZanten, Emma",Jr,F,6-4,10,1,134:33,19,38,50.00,,,,13,16,81.25,51,2.10,6,15,21,5,16,2,14,15,10,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,4,"Gorman, Mega",Sr,F,6-1,27,26,810:28,54,136,39.71,7,28,25.00,21,41,51.22,136,6.37,36,136,172,61,36,22,10,33,27,,3,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,4,"Gorman, Mega",Sr,F,6-1,27,26,810:28,54,136,39.71,7,28,25.00,21,41,51.22,136,6.37,36,136,172,61,36,22,10,33,27,,3,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,15,"Dunn, Mary",Sr,F,6-3,5,4,115:56,26,53,49.06,4,7,57.14,12,14,85.71,68,3.80,6,13,19,5,9,3,2,6,5,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,15,"Dunn, Mary",Sr,F,6-3,5,4,115:56,26,53,49.06,4,7,57.14,12,14,85.71,68,3.80,6,13,19,5,9,3,2,6,5,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,1,"Clark, Jenna",Fr,G,5-7,25,1,209:29,8,35,22.86,2,13,15.38,4,4,100.00,22,1.84,8,38,46,13,20,8,2,20,25,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,1,"Clark, Jenna",Fr,G,5-7,25,1,209:29,8,35,22.86,2,13,15.38,4,4,100.00,22,1.84,8,38,46,13,20,8,2,20,25,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,1,"Chikwe, Amara",So,F,6-1,1,,,,,,,,,,,,,,,,,,,,,,1,,0,,0
2019-20,Youngstown St. Penguins,John Barnes,Women's Basketball,1,"Chikwe, Amara",So,F,6-1,1,,,,,,,,,,,,,,,,,,,,,,1,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,12,"Gallagher, Robi",So,G,5-10,23,,165:40,9,31,29.03,5,18,27.78,6,10,60.00,29,0.61,2,12,14,17,13,4,2,11,23,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,12,"Gallagher, Robi",So,G,5-10,23,,165:40,9,31,29.03,5,18,27.78,6,10,60.00,29,0.61,2,12,14,17,13,4,2,11,23,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,30,"Prenger, Courtney",Fr,F,6-1,30,4,464:06,32,91,35.16,,1,0.00,20,34,58.82,84,2.80,32,52,84,14,38,20,2,43,30,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,30,"Prenger, Courtney",Fr,F,6-1,30,4,464:06,32,91,35.16,,1,0.00,20,34,58.82,84,2.80,32,52,84,14,38,20,2,43,30,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,5,"Hewitt, Mackenzie",So,G,5-5,21,,136:39,2,9,22.22,1,4,25.00,8,13,61.54,13,0.62,1,12,13,10,17,8,,16,21,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,5,"Hewitt, Mackenzie",So,G,5-5,21,,136:39,2,9,22.22,1,4,25.00,8,13,61.54,13,0.62,1,12,13,10,17,8,,16,21,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,5,"Sharps, Morga",Fr,G,5-10,30,15,662:17,64,172,37.21,48,128,37.50,8,9,88.89,184,1.60,5,43,48,43,36,18,2,20,30,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,5,"Sharps, Morga",Fr,G,5-10,30,15,662:17,64,172,37.21,48,128,37.50,8,9,88.89,184,1.60,5,43,48,43,36,18,2,20,30,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,40,"Davies, Bronwy",Sr,F,5-11,13,1,104:50,6,18,33.33,3,9,33.33,3,4,75.00,18,1.62,4,17,21,7,10,3,2,11,13,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,40,"Davies, Bronwy",Sr,F,5-11,13,1,104:50,6,18,33.33,3,9,33.33,3,4,75.00,18,1.62,4,17,21,7,10,3,2,11,13,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,4,"Wasylson, Laure",So,G,6-0,30,28,721:51,62,188,32.98,44,142,30.99,35,46,76.09,203,3.20,23,73,96,32,41,13,7,55,30,1,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,4,"Wasylson, Laure",So,G,6-0,30,28,721:51,62,188,32.98,44,142,30.99,35,46,76.09,203,3.20,23,73,96,32,41,13,7,55,30,1,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,33,"Nesbitt, Roxanne",So,G,5-6,8,,12:31,1,2,50.00,,,,1,2,50.00,3,0.12,,1,1,3,3,1,,,8,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,33,"Nesbitt, Roxanne",So,G,5-6,8,,12:31,1,2,50.00,,,,1,2,50.00,3,0.12,,1,1,3,3,1,,,8,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,44,"Townsend, Ayanna",Fr,F,6-2,30,21,558:30,62,157,39.49,,2,0.00,41,81,50.62,165,4.57,65,72,137,10,50,7,32,115,30,12,2,1,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,44,"Townsend, Ayanna",Fr,F,6-2,30,21,558:30,62,157,39.49,,2,0.00,41,81,50.62,165,4.57,65,72,137,10,50,7,32,115,30,12,2,1,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,35,"Elam, Ayla",Fr,F,6-1,6,,8:22,1,5,20.00,,1,0.00,,,,2,0.83,3,2,5,,1,,,3,6,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,35,"Elam, Ayla",Fr,F,6-1,6,,8:22,1,5,20.00,,1,0.00,,,,2,0.83,3,2,5,,1,,,3,6,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,3,"Dunham, Aaliyah",Jr,G,5-4,30,30,1057:15,81,229,35.37,33,85,38.82,30,51,58.82,225,2.93,15,73,88,135,59,56,4,60,30,2,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,3,"Dunham, Aaliyah",Jr,G,5-4,30,30,1057:15,81,229,35.37,33,85,38.82,30,51,58.82,225,2.93,15,73,88,135,59,56,4,60,30,2,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,32,"Hill, Eri",So,F,6-2,5,,21:43,3,6,50.00,,,,2,4,50.00,8,1.00,2,3,5,,3,,,5,5,,0,,0
2019-20,Yale Bulldogs,Allison Guth,Women's Basketball,32,"Hill, Eri",So,F,6-2,5,,21:43,3,6,50.00,,,,2,4,50.00,8,1.00,2,3,5,,3,,,5,5,,0,,0
2019-20,Xavier Musketeers,Mel Moore,Women's Basketball,25,"Gross, Carrie",So,G,5-11,29,10,649:58,92,224,41.07,7,20,35.00,49,70,70.00,240,2.97,46,40,86,41,68,32,1,73,29,2,0,,0
